"Sexe","Annee","Mention","Bourse","X36..ChatGPT","X37..DeepL","X38..Copilot","X39..Grammarly","X40..Perplexity","X41..Autre","X42..RP_PN_IA_type_freq_autres","X45..RP_PN_IA_usages","X46..RP_PN_IA_usages_Autre","X47..RP_PN_IA_raisons","X48..RP_PN_IA_raisons_Autre","X53..RP_PN_IALimites","X54..RP_PN_IALimites_Autre"
"M","BUT1","Informatique","Non boursier","Moins d’une fois par mois","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","","Résumer ou reformuler des textes, articles ou cours;Vérifier la qualité linguistique ou la clarté d’un texte","","Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.","","Vous préférez faire les choses par vous-même;Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"M","BUT3","Génie Electrique et Informatique Industrielle","Non boursier","Une à deux fois par semaine","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Autre","Toléré et conseillé parfois"
"F","BUT1","Informatique","Boursier","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Tous les jours ou presque","Vous ne la connaissez pas","Une à deux fois par semaine","","Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Créer des quiz, exercices ou fiches de révision;Autre","","Gagner du temps;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous ne savez pas très bien vous en servir;Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales",""
"M","BUT3","Gestion des Entreprises et des Administrations","Non boursier","Tous les jours ou presque","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Tous les jours ou presque","Gemini","Concevoir des supports visuels (infographies, schémas, présentations);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous craignez pour la confidentialité des données;Vous craignez d’être accusé de triche",""
"M","BUT3","Génie Electrique et Informatique Industrielle","Non boursier","Tous les jours ou presque","Une à deux fois par mois","Moins d’une fois par mois","Vous ne la connaissez pas","Moins d’une fois par mois","Tous les jours ou presque","DeepSeek, Gemini","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..","","Vous craignez pour la confidentialité des données;Vous craignez de devenir dépendant",""
"F","BUT1","Informatique","Non boursier","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Une à deux fois par semaine","","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz;Vous maintenir à niveau car tout le monde l’utilise","","Vos enseignants interdisent leur utilisation;Vous craignez pour la confidentialité des données;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"F","BUT2","Information - Communication","Boursier","Une à deux fois par semaine","Vous ne l'utilisez pas","Une à deux fois par mois","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","","Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.","","Vous ne savez pas très bien vous en servir;Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"F","BUT1","Carrières Juridiques","Non boursier","Une à deux fois par semaine","Vous ne la connaissez pas","Une à deux fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Résumer ou reformuler des textes, articles ou cours;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"F","BUT2","Science des Données","Boursier","Tous les jours ou presque","Tous les jours ou presque","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vos enseignants interdisent leur utilisation;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"M","BUT2","Information - Communication","Non boursier","Tous les jours ou presque","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par mois","Vous ne la connaissez pas","Vous ne l'utilisez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps","","Vos enseignants interdisent leur utilisation;Vous craignez pour la confidentialité des données;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"M","BUT2","Carrières Sociales","Boursier","Une à deux fois par semaine","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Vous ne la connaissez pas","","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..","","Vos enseignants interdisent leur utilisation;Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous considérez que c’est une forme de triche;Vous craignez de devenir dépendant",""
"F","BUT3","Information - Communication","Non boursier","Tous les jours ou presque","Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"M","BUT1","Génie Electrique et Informatique Industrielle","Boursier","Moins d’une fois par mois","Une à deux fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Une à deux fois par mois","","Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Trouver des explications sur un concept scientifique ou technique","","Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.","","Autre","Vérifier que ce que j'ai écrit et juste"
"F","BUT1","Informatique","Non boursier","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Planifier votre travail ou organiser votre emploi du temps","","Gagner du temps","","Vos enseignants interdisent leur utilisation;Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous craignez de devenir dépendant",""
"F","BUT2","Science des Données","Non boursier","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Autre","Apprendre de nouvelles formules de code","Vos enseignants interdisent leur utilisation;Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales",""
"F","BUT1","Techniques de Commercialisation","Boursier","Tous les jours ou presque","Vous ne l'utilisez pas","Vous ne la connaissez pas","Une à deux fois par semaine","Vous ne la connaissez pas","Moins d’une fois par mois","","Résumer ou reformuler des textes, articles ou cours;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision;Autre","Réviser et faire des fiches synthétique","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous craignez de devenir dépendant",""
"M","BUT1","Génie Mécanique et Productique","Boursier","Tous les jours ou presque","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Tous les jours ou presque","","Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous craignez pour la confidentialité des données;Vous êtes préoccupé par les conséquences environnementales;Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"F","BUT1","Carrières Juridiques","Non boursier","Tous les jours ou presque","Moins d’une fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","Une à deux fois par mois","Vous ne la connaissez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Résumer ou reformuler des textes, articles ou cours;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous êtes préoccupé par les conséquences environnementales;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"M","BUT1","Gestion des Entreprises et des Administrations","Boursier","Tous les jours ou presque","Moins d’une fois par mois","Tous les jours ou presque","Vous ne l'utilisez pas","Moins d’une fois par mois","Moins d’une fois par mois","","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Planifier votre travail ou organiser votre emploi du temps;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision;Autre","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","",""
"M","BUT3","Génie Electrique et Informatique Industrielle","Boursier","Tous les jours ou presque","Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne la connaissez pas","Tous les jours ou presque","Tous les jours ou presque","Chatgpt, deepseek, perplexity","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Concevoir ou optimiser un modèle / prototype / protocole;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous maintenir à niveau car tout le monde l’utilise","","Vos enseignants interdisent leur utilisation;Vous craignez pour la confidentialité des données;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez de devenir dépendant",""
"F","BUT2","Carrières Juridiques","Non boursier","Tous les jours ou presque","Une à deux fois par semaine","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","Vous ne la connaissez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Résumer ou reformuler des textes, articles ou cours;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail","","Vos enseignants interdisent leur utilisation;Vous êtes préoccupé par les conséquences environnementales;Vous craignez de devenir dépendant",""
"F","BUT1","Information - Communication","Non boursier","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Une à deux fois par mois","Tous les jours ou presque","Vous ne la connaissez pas","","Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…);Résumer ou reformuler des textes, articles ou cours;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vos enseignants interdisent leur utilisation;Vous craignez pour la confidentialité des données;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"M","BUT2","Génie Electrique et Informatique Industrielle","Non boursier","Moins d’une fois par mois","Vous ne l'utilisez pas","Moins d’une fois par mois","Vous ne l'utilisez pas","Une à deux fois par mois","Une à deux fois par mois","","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Concevoir ou optimiser un modèle / prototype / protocole","","Gagner du temps;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous préférez faire les choses par vous-même;Vous considérez que c’est une forme de triche",""
"F","BUT2","Carrières Juridiques","Non boursier","Tous les jours ou presque","Une à deux fois par mois","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.","","Vos enseignants interdisent leur utilisation;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous considérez que c’est une forme de triche;Vous craignez de devenir dépendant",""
"M","BUT3","Réseaux et Télécommunications","Non boursier","Une à deux fois par semaine","Moins d’une fois par mois","Une à deux fois par mois","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par semaine","Gemini","Générer des images ou des vidéos;Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Générer ou corriger une formule ou un calcul (Excel, MATLAB, Python…)","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.","","Vous n’avez pas besoin",""
"M","BUT2","Science des Données","Non boursier","Tous les jours ou presque","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne l'utilisez pas","","Générer, corriger ou commenter des lignes de code (Python, R, HTML, etc.);Trouver des explications sur un concept scientifique ou technique","","Gagner du temps","","Vous craignez pour la confidentialité des données;Vous ne voulez/pas ou ne pouvez pas payer les versions premium",""
"M","BUT2","Génie Electrique et Informatique Industrielle","Non boursier","Tous les jours ou presque","Moins d’une fois par mois","Une à deux fois par mois","Vous ne l'utilisez pas","Une à deux fois par mois","Moins d’une fois par mois","","Trouver des explications sur un concept scientifique ou technique","","Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins","","Vous préférez faire les choses par vous-même;Vous êtes préoccupé par les conséquences sociales et économiques;Vous considérez que c’est une forme de triche",""
"F","BUT2","Carrières Juridiques","Non boursier","Tous les jours ou presque","Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Concevoir des supports visuels (infographies, schémas, présentations);Générer des images ou des vidéos;Résumer ou reformuler des textes, articles ou cours","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.","","Autre",""
"F","BUT1","Information - Communication","Non boursier","Moins d’une fois par mois","Une à deux fois par semaine","Vous ne la connaissez pas","Moins d’une fois par mois","Vous ne la connaissez pas","Vous ne la connaissez pas","","Trouver des explications sur un concept scientifique ou technique;Créer des quiz, exercices ou fiches de révision","","Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous ne savez pas très bien vous en servir",""
"M","BUT2","Génie Electrique et Informatique Industrielle","Non boursier","Tous les jours ou presque","Moins d’une fois par mois","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Tous les jours ou presque","","","","Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps","","Vous craignez pour la confidentialité des données;Vous craignez d’être accusé de triche;Vous considérez que c’est une forme de triche",""
"M","BUT2","Informatique","Non boursier","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par mois","Moins d’une fois par mois","","","","","","Vous n’avez pas besoin;Vous préférez faire les choses par vous-même;Vous considérez que c’est une forme de triche;Vous craignez de devenir dépendant",""
"F","BUT3","Information - Communication","Non boursier","Tous les jours ou presque","Une à deux fois par mois","Vous ne l'utilisez pas","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne l'utilisez pas","","Résumer ou reformuler des textes, articles ou cours;Trouver des explications sur un concept scientifique ou technique;Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision;Autre","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Obtenir de meilleures notes : générer des contenus de qualité, éviter les erreurs, soigner la forme..;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Augmenter votre créativité : trouver des idées nouvelles, varier vos méthodes de travail;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous êtes préoccupé par les conséquences environnementales;Vous êtes préoccupé par les conséquences sociales et économiques;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous craignez d’être accusé de triche;Vous craignez de devenir dépendant",""
"F","BUT1","Carrières Juridiques","Non boursier","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Résumer ou reformuler des textes, articles ou cours;Simuler ou analyser un cas pratique (clinique, technique ou expérimental);Préparer ou structurer un exposé, un mémoire ou un rapport;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","Gagner du temps;Améliorer l’efficacité de vos apprentissages : mieux comprendre certains sujets, obtenir des explications, synthétiser les cours, etc.;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.;Bénéficier d’une aide personnalisée, recevoir des conseils adaptés à mes besoins;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous craignez de devenir dépendant",""
"M","BUT2","Information - Communication","Boursier","Tous les jours ou presque","Une à deux fois par semaine","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Préparer ou structurer un exposé, un mémoire ou un rapport","","Vous organiser : vous aider à planifier, à structurer vos projets, à gérer votre temps;Vous entraîner, vous tester : générer des questions, des tests, des quiz","","Vous n’avez pas besoin",""
"F","BUT1","Gestion des Entreprises et des Administrations","Non boursier","Tous les jours ou presque","Vous ne la connaissez pas","Vous ne l'utilisez pas","Vous ne l'utilisez pas","Une à deux fois par mois","Vous ne l'utilisez pas","","Résumer ou reformuler des textes, articles ou cours;Vérifier la qualité linguistique ou la clarté d’un texte;Créer des quiz, exercices ou fiches de révision","","","","",""
"F","BUT1","Informatique","Non boursier","Une à deux fois par mois","Vous ne l'utilisez pas","Moins d’une fois par mois","Vous ne l'utilisez pas","Vous ne la connaissez pas","Vous ne la connaissez pas","","Résumer ou reformuler des textes, articles ou cours","","Gagner du temps;Développer vos compétences : apprendre à utiliser de nouveaux outils, améliorer vos compétences en rédaction, programmation, etc.","","Vous préférez faire les choses par vous-même;Vos enseignants interdisent leur utilisation;Vous êtes préoccupé par les conséquences environnementales;Vous ne voulez/pas ou ne pouvez pas payer les versions premium;Vous considérez que c’est une forme de triche",""
